Record_ID,Tenure,Late_Payments,Revenue
R000129,2,0,7283.59
R000130,43,1,13774.43
R000131,10,2,2133.96
R000132,50,4,587.39
R000133,46,3,9640.62
R000134,54,2,6232.25
R000135,35,1,5317.75
R000136,60,4,4104.76
R000137,31,0,8565.71
R000138,58,0,9607.0
R000139,24,6,5375.9
R000140,11,1,11798.91
R000141,5,0,9153.46
R000142,41,3,7971.84
R000143,28,1,7795.82
R000144,23,0,297.23
R000145,46,3,9678.54
R000146,47,1,12387.96
R000147,30,0,13198.22
R000148,24,3,11951.03
R000149,54,2,13331.95
R000150,56,2,3587.52
R000151,27,1,7575.45
R000152,55,2,11242.84
R000153,2,0,185.56
R000154,23,6,10575.02
R000155,59,4,8205.94
R000156,33,6,6663.7
R000157,20,2,7138.78
R000158,32,3,10598.13
R000159,38,0,13670.65
R000160,12,0,881.14
R000161,30,1,12857.4
R000162,53,0,3531.1
R000163,1,5,3875.21
R000164,38,7,14185.06
R000165,4,0,3663.99
R000166,55,2,11227.15
R000167,3,7,7496.28
R000168,36,4,425.37
R000169,5,0,6652.27
R000170,53,1,1037.95
R000171,21,0,8333.1
R000172,10,1,11725.84
R000173,44,1,11002.93
R000174,29,6,6746.87
R000175,25,0,9273.16
R000176,31,2,875.08
R000177,21,3,8215.29
R000178,44,0,9551.42
R000179,33,0,1262.66
R000180,42,0,5103.07
R000181,53,6,3375.08
R000182,3,0,13654.28
R000183,19,0,13183.37
R000184,39,0,10461.12
R000185,18,2,12980.11
R000186,27,1,11127.55
R000187,55,0,3800.83
R000188,21,5,5206.67
R000189,45,2,6997.56
R000190,4,3,6857.12
R000191,40,0,12422.6
R000192,16,0,13949.83
R000193,40,2,9503.47
R000194,21,0,14489.49
R000195,49,3,14643.03
R000196,15,2,3144.15
R000197,30,0,1794.32
R000198,56,0,905.58
R000199,23,2,788.66
R000200,32,0,11198.16
R000201,22,2,9698.86
R000202,59,1,1443.9
R000203,13,2,3293.6
R000204,27,0,13121.8
R000205,49,1,5746.84
R000206,15,1,2362.2
R000207,17,3,5614.12
R000208,24,0,6690.04
R000209,20,2,11209.93
R000210,29,0,8544.02
R000211,7,5,2447.78
R000212,50,0,5814.39
R000213,14,0,6536.32
R000214,25,1,1917.29
R000215,31,3,647.98
R000216,51,1,14291.93
R000217,15,1,6026.88
R000218,9,1,8104.68
R000219,35,1,14269.83
R000220,49,2,1949.1
R000221,59,0,8129.51
R000222,42,1,11425.92
R000223,29,1,696.12
R000224,13,0,3394.17
R000225,25,2,2912.12
R000226,42,0,12808.83
R000227,22,1,4282.03
R000228,47,0,8761.98
R000229,35,0,6245.25
R000230,51,3,11338.21
R000231,8,0,6712.49
R000232,5,0,9557.85
R000233,59,0,414.53
R000234,11,2,8765.9
R000235,51,4,11053.64
R000236,57,1,10631.05
R000237,51,5,12968.4
R000238,21,6,1246.84
R000239,53,2,6510.11
R000240,21,6,9703.66
R000241,15,2,6189.63
R000242,53,1,10174.77
R000243,38,0,12167.24
R000244,34,1,10542.15
R000245,10,0,6153.14
R000246,56,0,10701.69
R000247,1,0,9536.68
R000248,43,0,11105.83
R000249,26,2,8813.02
R000250,53,2,2388.76
R000251,32,0,12639.56
R000252,33,0,10812.01
R000253,21,2,1149.44
R000254,6,3,6603.02
R000255,54,0,451.37
R000256,34,2,6515.63
R000257,22,5,143.67
R000258,6,0,10847.64
R000259,35,0,12047.75
R000260,48,2,1858.46
R000261,34,0,9429.57
R000262,38,0,275.45
R000263,20,0,5258.26
R000264,43,2,11440.02
R000265,57,4,3509.69
R000266,38,2,4844.85
R000267,49,0,9418.61
R000268,29,2,14980.44
R000269,5,0,1880.21
R000270,47,2,2842.45
R000271,50,1,8944.85
R000272,29,7,7626.06
R000273,56,1,6599.49
R000274,37,1,10635.04
R000275,22,5,3882.67
R000276,29,2,2574.11
R000277,17,0,1940.84
R000278,15,7,10615.94
R000279,56,1,301.66
R000280,34,0,5869.68
R000281,47,5,4004.37
R000282,51,1,3597.78
R000283,35,3,8719.95
R000284,40,0,13359.38
R000285,9,0,9843.25
R000286,34,0,10374.51
R000287,48,3,2232.96
R000288,44,0,7408.28
R000289,1,2,3326.66
R000290,45,0,11627.14
R000291,33,2,5699.02
R000292,14,0,9214.68
R000293,49,1,14248.26
R000294,11,0,5295.98
R000295,57,0,8221.0
R000296,49,0,4280.97
R000297,59,0,2504.56
R000298,60,4,7230.74
R000299,8,0,6929.29
R000300,57,1,3859.47
R000301,5,0,3624.51
R000302,11,2,14970.14
R000303,50,3,1576.89
R000304,34,2,10252.61
R000305,6,0,4808.53
R000306,12,2,13229.13
R000307,48,0,4647.49
R000308,1,0,629.74
R000309,31,1,6742.35
R000310,52,1,5551.8
R000311,23,2,5006.41
R000312,12,2,6991.17
R000313,22,0,5645.08
R000314,29,3,10082.29
R000315,2,1,13547.39
R000316,9,1,2949.65
R000317,45,2,6861.75
R000318,10,1,2545.84
R000319,4,1,3942.97
R000320,43,2,8675.79
R000321,55,3,14968.56
R000322,29,1,8804.2
R000323,7,0,7111.64
R000324,58,1,10970.74
R000325,39,2,5830.64
R000326,19,0,8426.28
R000327,31,0,13322.72
R000328,60,6,5581.43
R000329,52,2,6337.25
R000330,33,2,8858.08
R000331,30,0,6765.05
R000332,50,4,403.97
R000333,55,1,2793.16
R000334,9,3,1121.98
R000335,49,1,1995.11
R000336,38,3,13692.53
R000337,36,2,11830.37
R000338,34,0,9479.47
R000339,4,8,10506.77
R000340,4,1,6611.82
R000341,38,1,4042.87
R000342,4,0,14057.46
R000343,15,0,7727.51
R000344,59,0,13906.68
R000345,10,1,12447.74
R000346,25,0,9746.6
R000347,59,2,7372.96
R000348,59,6,149.87
R000349,42,6,8849.04
R000350,50,4,8338.02
R000351,10,7,2682.98
R000352,42,0,966.14
R000353,6,0,12035.39
R000354,26,1,13225.05
R000355,51,3,8307.61
R000356,20,0,7514.54
R000357,38,7,2302.0
R000358,54,1,1180.71
R000359,60,8,5821.82
R000360,25,0,13500.76
R000361,46,0,576.93
R000362,60,1,645.15
R000363,8,0,2351.59
R000364,16,2,6629.99
R000365,52,2,14520.3
R000366,45,4,10258.9
R000367,38,1,5354.89
R000368,16,2,8659.92
R000369,31,1,14635.32
R000370,1,1,10132.36
R000371,36,0,3045.32
R000372,34,0,11137.27
R000373,59,0,1682.47
R000374,52,0,2295.76
R000375,43,0,6407.84
R000376,52,7,2979.57
R000377,13,1,11308.39
R000378,60,2,12098.15
R000379,14,0,10098.07
R000380,14,1,9362.99
R000381,2,0,11062.67
R000382,21,0,1336.94
R000383,33,0,10089.57
R000384,9,7,7721.95
R000385,31,2,14078.63
R000386,49,0,10153.58
R000387,53,2,383.79
R000388,4,0,10080.79
R000389,48,3,10639.04
R000390,34,0,11902.78
R000391,55,0,8178.16
R000392,36,0,1918.23
R000393,5,0,8355.06
R000394,55,6,8167.76
R000395,34,1,9743.9
R000396,12,1,924.78
R000397,30,4,4855.77
R000398,24,0,10901.4
R000399,39,0,3578.37
R000400,6,6,2182.5
R000401,37,1,298.61
R000402,29,3,6924.83
R000403,36,0,2944.5
R000404,55,1,14910.64
R000405,51,6,13882.41
R000406,56,0,7981.81
R000407,46,1,6896.22
R000408,11,3,5188.72
R000409,8,1,5868.14
R000410,7,1,8045.65
R000411,12,0,2951.07
R000412,23,7,1972.46
R000413,26,0,6018.32
R000414,56,2,9810.01
R000415,43,2,6492.16
R000416,3,1,12383.45
R000417,53,5,12150.08
R000418,36,1,2088.84
R000419,51,1,5797.04
R000420,20,0,12172.97
R000421,40,0,6575.46
R000422,31,5,613.05
R000423,23,0,2402.07
R000424,22,2,2674.96
R000425,43,1,11848.61
R000426,41,5,7481.58
R000427,12,3,10135.88
R000428,25,0,3270.94
R000429,29,4,11026.92
R000430,49,0,10137.3
R000431,41,1,14815.97
R000432,52,6,10079.33
R000433,8,2,14482.65
R000434,46,3,8581.84
R000435,46,2,970.36
R000436,25,0,4501.32
R000437,38,1,8109.76
R000438,41,0,5420.29
R000439,18,1,12204.89
R000440,49,0,7611.05
R000441,18,2,3618.34
R000442,33,2,8087.7
R000443,58,1,5090.03
R000444,17,2,672.29
R000445,54,0,5373.11
R000446,35,0,7600.64
R000447,3,1,2757.04
R000448,8,2,14692.32
R000449,56,1,12669.68
R000450,53,4,11323.23
R000451,51,1,7896.55
R000452,24,0,9552.11
R000453,30,0,4374.5
R000454,17,5,2969.39
R000455,29,2,7704.78
R000456,53,3,4207.63
R000457,39,7,8843.66
R000458,47,0,4261.39
R000459,34,0,14138.6
R000460,58,1,8574.48
R000461,51,1,4042.46
R000462,60,0,13116.38
R000463,28,0,2194.68
R000464,38,2,8066.99
R000465,45,0,1743.71
R000466,7,2,4800.16
R000467,33,3,5991.52
R000468,15,6,8314.86
R000469,45,0,3926.47
R000470,45,1,12537.05
R000471,11,0,14823.24
R000472,57,2,6085.07
R000473,40,0,13179.41
R000474,5,0,11260.44
R000475,36,1,14479.37
R000476,31,3,2812.04
R000477,49,0,2041.28
R000478,50,1,9888.58
R000479,52,6,12438.75
R000480,18,2,6824.6
R000481,31,3,9799.78
R000482,30,4,7084.1
R000483,17,1,8546.07
R000484,4,2,4142.95
R000485,26,3,10025.93
R000486,55,1,4760.4
R000487,48,2,7644.41
R000488,14,0,5879.28
R000489,16,2,6547.52
R000490,34,1,5726.05
R000491,51,4,6745.66
R000492,9,2,10251.33
R000493,28,2,14411.4
R000494,28,0,1130.47
R000495,28,1,5372.52
R000496,5,0,2286.54
R000497,42,0,11827.59
R000498,36,0,3922.07
R000499,27,0,932.87
R000500,49,4,10279.95
R000501,5,3,12664.41
R000502,56,2,6913.26
R000503,9,0,14441.38
R000504,35,0,8574.98
R000505,6,1,7541.53
R000506,22,0,5464.82
R000507,45,3,8316.53
R000508,47,0,424.7
R000509,52,1,635.53
R000510,19,0,1488.82
R000511,13,0,5348.32
R000512,26,0,2466.82
R000513,5,0,2183.91
R000514,25,2,3124.71
R000515,33,0,2174.59
R000516,11,0,13346.28
R000517,34,1,11486.16
R000518,56,0,8672.85
R000519,12,1,2550.87
R000520,23,1,5675.81
R000521,32,0,10677.46
R000522,52,0,1474.14
R000523,36,0,8622.18
R000524,58,2,7340.88
R000525,26,2,13947.41
R000526,29,1,1728.5
R000527,49,4,4031.73
R000528,39,3,2279.74
R000529,54,1,9359.42
R000530,39,0,11018.06
R000531,31,5,13791.45
R000532,19,5,3263.81
R000533,33,0,5115.78
R000534,10,0,12182.69
R000535,57,0,11543.38
R000536,4,1,9873.63
R000537,9,6,1802.9
R000538,44,6,2841.55
R000539,40,0,13923.17
R000540,5,0,7107.56
R000541,38,1,5817.74
R000542,33,5,12921.82
R000543,7,1,2690.22
R000544,29,2,387.56
R000545,46,1,4163.13
R000546,50,2,10667.77
R000547,40,2,10854.1
R000548,19,5,1974.17
R000549,44,0,8860.78
R000550,58,7,2326.95
R000551,58,7,1959.31
R000552,13,0,2552.49
R000553,13,6,5655.45
R000554,4,1,14909.76
R000555,19,0,4691.47
R000556,48,1,5841.59
R000557,49,4,13520.44
R000558,33,0,10006.8
R000559,13,3,14434.77
R000560,58,0,13138.63
R000561,31,2,12855.75
R000562,44,7,4486.06
R000563,36,0,9816.2
R000564,46,0,6000.32
R000565,41,0,6583.41
R000566,51,0,3298.43
R000567,58,3,914.86
R000568,26,7,14050.15
R000569,25,0,667.67
R000570,38,4,5668.78
R000571,58,7,10238.23
R000572,7,2,8369.76
R000573,26,4,9076.68
R000574,33,3,11747.24
R000575,47,4,2812.47
R000576,2,5,13174.96
R000577,6,2,2288.47
R000578,56,0,10759.55
R000579,34,3,4349.54
R000580,39,3,1543.34
R000581,48,2,13303.23
R000582,25,0,9563.44
R000583,2,0,12195.46
R000584,6,3,10633.91
R000585,12,0,12699.0
R000586,16,2,855.13
R000587,56,5,11589.95
R000588,6,0,14926.4
R000589,26,2,3209.11
R000590,13,0,8432.22
R000591,35,3,11324.68
R000592,6,0,7123.45
R000593,39,0,14126.67
R000594,47,4,6723.28
R000595,31,0,3471.69
R000596,54,0,4596.77
R000597,21,0,13261.59
R000598,19,0,4948.06
R000599,35,3,12294.84
R000600,7,2,2247.59
R000601,4,1,6986.57
R000602,18,6,8808.52
R000603,49,1,2880.17
R000604,12,0,5019.34
R000605,57,0,4530.28
R000606,8,0,12117.53
R000607,12,0,9416.2
R000608,10,0,8660.2
R000609,26,0,6701.73
R000610,36,0,11948.25
R000611,13,2,11204.37
R000612,24,0,12290.44
R000613,16,0,8297.29
R000614,36,0,733.55
R000615,3,0,5043.42
R000616,35,1,9695.56
R000617,25,0,8667.53
R000618,49,3,13263.01
R000619,8,0,532.14
R000620,33,2,940.68
R000621,34,0,1899.3
R000622,25,0,10352.16
R000623,37,2,10232.38
R000624,11,1,10940.39
R000625,60,4,8333.05
R000626,43,1,4773.8
R000627,13,5,9010.88
R000628,57,2,12205.58
R000629,40,1,677.22
R000630,3,2,2134.56
R000631,50,1,14797.47
R000632,34,0,955.36
R000633,17,2,1085.9
R000634,22,6,14925.48
R000635,5,6,5794.81
R000636,6,1,3321.18
R000637,60,0,2997.25
R000638,29,0,5010.1
R000639,23,2,14054.59
R000640,42,5,5084.46
R000641,37,0,6708.59
R000642,22,2,9123.28
R000643,32,0,14805.13
R000644,11,1,8175.52
R000645,19,4,5587.18
R000646,16,2,10613.31
R000647,5,3,8757.5
R000648,48,2,10214.13
R000649,15,0,9878.94
R000650,45,0,5465.4
R000651,44,0,12256.33
R000652,59,0,13352.24
R000653,31,2,7649.95
R000654,55,1,4124.41
R000655,60,1,13696.12
R000656,31,0,1065.95
R000657,20,0,1077.31
R000658,16,0,5954.6
R000659,47,0,1439.42
R000660,24,1,11376.66
R000661,49,0,1245.52
R000662,36,0,11034.32
R000663,4,1,11913.28
R000664,45,1,1712.17
R000665,42,2,14626.66
R000666,22,2,12007.49
R000667,46,2,11085.78
R000668,41,0,1647.08
R000669,11,0,3095.8
R000670,7,3,5170.37
R000671,5,0,8946.76
R000672,58,0,11864.2
R000673,35,1,9194.22
R000674,48,0,11968.97
R000675,54,0,12951.88
R000676,35,2,1565.43
R000677,24,3,1070.61
R000678,14,0,9121.91
R000679,24,0,13195.93
R000680,44,2,2135.25
R000681,27,4,2086.6
R000682,22,2,2437.38
R000683,23,0,1521.22
R000684,26,1,12202.51
R000685,55,1,7907.79
R000686,14,1,4241.75
R000687,11,0,12076.62
R000688,4,0,6559.5
R000689,38,8,14552.92
R000690,13,4,1205.6
R000691,42,4,11595.71
R000692,55,0,9734.48
R000693,24,4,6143.7
R000694,50,0,4586.46
R000695,2,1,3294.87
R000696,60,4,14421.37
R000697,10,0,4627.23
R000698,58,4,13655.04
R000699,4,5,10883.55
R000700,39,0,3673.11
R000701,45,0,14029.36
R000702,6,0,13383.42
R000703,48,0,9245.32
R000704,50,0,2587.44
R000705,57,0,13105.86
R000706,14,8,450.92
R000707,16,4,6690.89
R000708,40,2,5078.58
R000709,59,3,12789.16
R000710,59,1,7747.89
R000711,46,6,9936.46
R000712,54,0,1461.59
R000713,40,2,10236.19
R000714,56,2,3311.57
R000715,54,2,14718.59
R000716,59,1,4950.93
R000717,1,1,4919.69
R000718,46,1,3917.83
R000719,43,1,9399.33
R000720,8,3,11462.7
R000721,54,3,12302.08
R000722,23,1,12187.49
R000723,10,0,14005.95
R000724,51,2,7566.35
R000725,21,3,14211.78
R000726,28,0,7762.37
R000727,28,0,8775.91
R000728,13,2,2947.74
R000729,9,4,522.9
R000730,37,2,9258.75
R000731,33,2,3642.88
R000732,29,0,11342.63
R000733,40,0,13107.9
R000734,59,0,5209.0
R000735,4,5,3189.08
R000736,5,0,11803.83
R000737,60,3,8173.62
R000738,17,3,3633.01
R000739,4,1,3597.31
R000740,19,6,12637.48
R000741,54,1,1721.4
R000742,9,3,5195.64
R000743,48,2,12377.01
R000744,24,0,9553.23
R000745,58,0,13729.37
R000746,19,2,3281.66
R000747,11,2,12382.92
R000748,10,1,1381.41
R000749,39,1,13436.75
R000750,56,0,14885.95
R000751,30,3,9412.1
R000752,54,1,7838.84
R000753,14,0,2317.72
R000754,35,2,8948.82
R000755,13,6,2857.88
R000756,32,0,1471.81
R000757,23,0,2344.14
R000758,12,2,7492.52
R000759,3,0,13792.28
R000760,36,0,2927.46
R000761,51,4,8294.67
R000762,52,0,5032.26
R000763,54,0,7121.94
R000764,6,2,6013.44
R000765,25,0,3086.58
R000766,41,0,13990.01
R000767,31,0,7963.62
R000768,8,8,5458.21
R000769,37,1,5590.73
R000770,47,1,14979.85
R000771,13,4,10282.19
R000772,32,1,4056.51
R000773,53,1,9028.95
R000774,51,3,6430.42
R000775,55,2,11662.5
R000776,20,2,2982.03
R000777,43,2,13948.64
R000778,11,6,3295.78
R000779,8,2,1550.57
R000780,11,4,9381.14
R000781,28,1,7770.77
R000782,5,3,9611.5
R000783,51,4,309.02
R000784,52,0,12340.22
R000785,25,1,3316.44
R000786,31,2,4217.39
R000787,33,0,5750.8
R000788,23,1,3243.89
R000789,9,4,5713.85
R000790,36,4,8817.94
R000791,9,0,13014.35
R000792,17,1,11759.55
R000793,16,1,2472.24
R000794,43,1,5215.65
R000795,5,0,11492.3
R000796,44,1,1290.67
R000797,36,0,8171.5
R000798,48,0,6348.79
R000799,11,4,11755.74
R000800,30,7,2481.22
R000801,17,1,2879.05
R000802,60,3,12948.89
R000803,60,0,892.27
R000804,51,0,14367.98
R000805,26,0,13886.03
R000806,20,2,3279.64
R000807,10,1,9331.44
R000808,12,7,14942.41
R000809,20,0,8780.69
R000810,3,1,12223.1
R000811,7,0,7801.32
R000812,28,1,1644.25
R000813,33,3,406.6
R000814,3,1,11594.89
R000815,50,3,7537.86
R000816,31,2,9775.37
R000817,47,8,1460.52
R000818,21,1,13113.12
R000819,20,3,13283.85
R000820,24,0,5692.84
R000821,28,5,8289.21
R000822,27,0,3804.6
R000823,34,2,4926.53
R000824,39,0,10160.03
R000825,4,2,10559.26
R000826,40,1,2468.86
R000827,28,2,12743.69
R000828,17,1,7926.94
R000829,44,6,3830.68
R000830,18,0,10329.61
R000831,58,1,8191.53
R000832,30,1,6237.71
R000833,47,2,12345.11
R000834,45,0,10545.3
R000835,38,0,7734.48
R000836,47,1,1483.85
R000837,21,0,9164.0
R000838,54,0,5899.55
R000839,24,0,6013.06
R000840,28,0,11419.66
R000841,21,0,6416.97
R000842,19,0,7576.85
R000843,36,0,10396.5
R000844,39,0,9137.55
R000845,50,1,3227.82
R000846,52,1,2201.72
R000847,21,1,14881.4
R000848,32,1,8229.55
R000849,33,0,7261.8
R000850,46,0,1625.67
R000851,57,0,8980.2
R000852,33,2,7596.07
R000853,36,2,11963.93
R000854,52,3,14610.25
R000855,55,7,12482.93
R000856,39,0,12602.81
R000857,7,6,5466.19
R000858,51,4,10932.78
R000859,28,1,13984.83
R000860,58,3,12396.82
R000861,42,4,2910.22
R000862,19,0,7354.11
R000863,53,0,8332.09
R000864,4,0,10605.74
R000865,43,0,12908.91
R000866,48,0,13101.81
R000867,47,0,6475.59
R000868,60,0,1551.09
R000869,47,2,8768.82
R000870,54,0,2648.55
R000871,30,2,13430.62
R000872,29,0,13591.56
R000873,32,0,289.76
R000874,34,0,3774.99
R000875,32,4,2475.32
R000876,24,1,9109.93
R000877,41,0,10613.93
R000878,18,5,3709.81
R000879,54,1,6597.1
R000880,24,6,7429.47
R000881,46,0,14729.66
R000882,5,0,11789.63
R000883,51,3,12534.44
R000884,53,0,2663.6
R000885,57,2,12332.72
R000886,29,0,14180.73
R000887,57,0,8123.17
R000888,22,0,7777.51
R000889,36,7,10130.94
R000890,46,1,14692.05
R000891,24,4,232.11
R000892,20,2,1440.77
R000893,47,2,305.58
R000894,26,2,11810.3
R000895,57,4,7857.11
R000896,50,1,5466.41
R000897,14,0,4126.51
R000898,43,2,3767.81
R000899,30,7,14577.28
R000900,16,1,9001.16
R000901,22,0,10924.38
R000902,21,0,9919.2
R000903,15,0,6959.4
R000904,23,4,13716.93
R000905,58,0,4858.6
R000906,47,0,4948.78
R000907,46,0,1261.76
R000908,59,4,6064.11
R000909,32,3,13697.27
R000910,31,2,9428.99
R000911,57,3,6756.33
R000912,10,2,2708.54
R000913,7,1,10244.63
R000914,58,0,7826.37
R000915,55,0,6277.6
R000916,40,2,5962.25
R000917,47,1,1069.71
R000918,41,0,250.09
R000919,11,0,3785.47
R000920,17,0,8773.91
R000921,28,1,9569.62
R000922,3,1,13977.51
R000923,38,7,6585.94
R000924,16,0,2673.11
R000925,46,4,10856.37
R000926,50,3,8819.93
R000927,57,2,179.23
R000928,41,2,3999.32
R000929,40,3,11290.86
R000930,32,2,5153.92
R000931,46,0,5172.69
R000932,22,2,347.22
R000933,1,1,10153.55
R000934,50,2,4263.93
R000935,4,3,12021.15
R000936,46,0,9307.44
R000937,34,0,4138.71
R000938,59,0,2472.57
R000939,35,1,8798.27
R000940,48,3,6069.12
R000941,60,0,1072.07
R000942,43,0,14731.82
R000943,58,5,6829.64
R000944,22,0,3673.23
R000945,49,4,8426.25
R000946,28,2,5035.82
R000947,58,0,5983.51
R000948,59,1,6489.46
R000949,39,1,1968.85
R000950,45,0,5018.3
R000951,11,2,3562.04
R000952,50,4,8078.42
R000953,36,1,9576.07
R000954,2,2,4696.59
R000955,27,0,4319.3
R000956,55,2,9774.88
R000957,7,0,1300.65
R000958,57,1,13370.63
R000959,38,0,6794.16
R000960,44,0,3293.27
R000961,8,0,6788.57
R000962,6,1,14257.88
R000963,40,3,13587.49
R000964,15,2,11212.43
R000965,25,0,7787.49
R000966,13,7,809.32
R000967,41,2,13643.93
R000968,19,6,14272.51
R000969,46,0,3092.39
R000970,9,1,5061.62
R000971,38,2,8353.55
R000972,55,7,11127.8
R000973,5,2,13547.01
R000974,44,2,6832.78
R000975,38,0,4367.33
R000976,34,0,4665.63
R000977,20,0,4110.86
R000978,45,5,3524.82
R000979,27,0,5941.49
R000980,41,3,5866.04
R000981,35,1,11399.66
R000982,35,0,13058.86
R000983,52,2,3337.76
R000984,50,1,5615.36
R000985,59,1,4400.51
R000986,49,0,460.04
R000987,7,0,10907.0
R000988,58,3,13303.04
R000989,41,1,2454.74
R000990,13,4,7129.46
R000991,3,0,9699.52
R000992,59,3,14908.37
R000993,9,1,9062.11
R000994,39,6,12064.65
R000995,52,2,10346.78
R000996,44,1,10516.63
R000997,37,0,6928.55
R000998,41,0,9222.28
R000999,57,0,6029.34
R001000,10,0,4599.33
R001001,31,1,5630.51
R001002,6,4,8145.45
R001003,2,0,9186.13
R001004,58,2,1217.79
R001005,7,2,5703.29
R001006,1,0,7201.96
R001007,44,5,5028.1
R001008,16,2,12688.49
R001009,19,6,11055.78
R001010,20,0,9679.19
R001011,50,0,11396.73
R001012,36,0,14870.57
R001013,29,0,1507.73
R001014,58,3,10770.05
R001015,43,0,12186.26
R001016,28,0,2163.72
R001017,12,0,14501.33
R001018,37,2,2664.68
R001019,23,4,7699.85
R001020,31,0,5173.5
R001021,42,2,11318.04
R001022,34,1,1075.01
R001023,57,1,13083.78
R001024,47,0,13655.36
R001025,56,0,6383.79
R001026,59,1,6009.4
R001027,24,1,488.95
R001028,36,1,12216.57
R001029,42,0,10161.65
R001030,51,0,12617.43
R001031,29,1,3301.83
R001032,39,5,8094.43
R001033,41,0,3995.72
R001034,12,2,12368.21
R001035,53,1,5860.14
R001036,44,0,4707.0
R001037,6,0,1463.56
R001038,23,0,10471.56
R001039,56,1,5852.82
R001040,22,0,6260.42
R001041,9,0,11952.45
R001042,54,2,9699.85
R001043,53,2,3309.36
R001044,54,4,6170.44
R001045,38,0,6382.52
R001046,51,1,7767.58
R001047,50,0,9648.95
R001048,24,0,10714.06
R001049,58,1,9746.09
R001050,16,1,12626.74
R001051,36,0,7538.54
R001052,54,1,8053.08
R001053,49,7,1487.15
R001054,51,0,8802.03
R001055,26,6,11481.8
R001056,8,1,581.09
R001057,15,0,14310.7
R001058,5,3,10816.22
R001059,57,2,5627.32
R001060,31,2,14151.88
R001061,27,2,4300.86
R001062,3,3,9558.05
R001063,29,0,14965.07
R001064,39,0,7106.18
R001065,8,5,13887.33
R001066,40,2,7223.49
R001067,40,0,4430.12
R001068,27,2,7897.18
R001069,1,0,6686.61
R001070,29,1,7117.43
R001071,47,0,7254.27
R001072,25,0,5930.02
R001073,16,2,10275.03
R001074,24,0,1357.98
R001075,3,3,11605.66
R001076,40,8,12380.41
R001077,23,2,13858.97
R001078,38,1,4901.48
